Afrikaans	Bengali	Czech	Danish	English	Esperanto	Finnish	Georgian	Hebrew	Italian	Portuguese	Russian	Swahili
				a n s w e r					r i s p o n d e r e	a t e n d e r		
				s t i m u l a t i o n	s t i m u l a d o				s t i m o l a z i o n e	e s t í m u l o	с т и м у л и ́ р о в а н и е	
		k n ě ž k a	p r æ s t i n d e	p r i e s t e s s	p a s t r i n o	p a p i t a r			s a c e r d o t e s s a	s a c e r d o t i s a	п о п а д ь я ́	
		s t ř í l e t		m i s f i r e								
				u n b l e m i s h e d		t a h r a t o n						
		v e s m í r n á   m i s e		s p a c e   m i s s i o n								
				p e p   t a l k		k a n n u s t u s p u h e			d i s c o r s o   d ' i n c o r a g g i a m e n t o		з а ж и г а ́ т е л ь н а я   р е ч ь	
				d e b i t		o t t o						
			s y f i l i t i k e r	s y p h i l i t i c								
				p i c k		v a l i t a			s c e g l i e r e	e s c o l h e r	в ы б р а ́ т ь	
		h o m o m o r f n í		h o m o m o r p h i c								
				h e l i o t r o p e		h e l i o t r o o p p i						
		v á l c o v i t ý	c y l i n d r i s k	c y l i n d r i c a l	c i l i n d r a	l i e r e ä			c i l i n d r i c o	c i l í n d r i c o	ц и л и н д р и ́ ч е с к и й	
				j e l l y   b e a n		j e l l y   b e a n			j e l l y   b e l l y	j u j u b a	ж е л е ́ й н ы й   б о б	
		n a d n e s e n ý	h y p e r b o l s k	h y p e r b o l i c						h i p e r b ó l i c o	г и п е р б о л и ч е с к и й	
			h a v b a r s	E u r o p e a n   s e a b a s s		m e r i b a s s i			r a n g o	r o b a l o		
				a b d o m i n o j u g u l a r						a b d o m i n o j u g u l a r		
		R w a n ď a n k a		R w a n d a n	r u a n d a n i n o	r u a n d a l a i n e n				r u a n d ê s	р у а н д и ́ й к а	M r w a n d a
				s h u t t e r		s u l k i j a						
s p i e s	ব র ্ শ া	k o p í	s p y d	s p e a r	l a n c o	k e i h ä s	ლ ა ხ ვ ა რ ი	ח ֲ נ ִ י ת	p i c c a	l a n ç a	д р о ́ т и к	m k u k i
		v y c h y t r a l ý		c u n n i n g	r u z a	k i e r o	ე შ მ ა კ ი		a s t u t o	m a t r e i r o	д о ́ ш л ы й	
		j s i   a l e r g i c k á   n a   n ě j a k é   l é k y ?	e r   d u   a l l e r g i s k   o v e r f o r   n o g e t   m e d i c i n ?	a r e   y o u   a l l e r g i c   t o   a n y   m e d i c a t i o n s		l ä ä k e			s e i   a l l e r g i c o   a   q u a l c h e   m e d i c i n a l e ?	v o c ê   é   a l é r g i c o   a   a l g u m a   m e d i c a ç ã o ?	у   в а с   е с т ь   а л л е р г и ́ я   н а   к а к и ́ е - н и б у ́ д ь   л е к а ́ р с т в а	
				s t r a p					m o i e t t a			
				e n c o d e					c o d i f i c a r e	c o d i f i c a r		
				w h o ' d   h a v e   t h u n k   i t					c h i   l ' a v r e b b e   m a i   d e t t o	q u e m   d i r i a	к т о   б ы   м о г   п о д у ́ м а т ь	
			v i s k e s t y k k e	d i s h c l o t h		a s t i a p y y h e				p a n o   d e   l o u ç a		
		p o d z e m n í		s u b t e r r a n e a n		m a a n a l a i n e n			s o t t e r r a n e o	s u b t e r r â n e o	п о д з е ́ м н ы й	
				u n i v o l t i n e					u n i v o l t i n o			
				o p e n - m o u t h e d		a v o s u i n e n						
				s t r a d d l e		r a t s a s t u s a s e n t o						
				b l u e p r i n t		p i i r u s t u k s e t				p r o j e t o	ч е р т ё ж	
				r a i n   c l o u d	p l u v n u b o	s a d e p i l v i			n e m b o	n i m b o	д о ж д е в о ́ е   о ́ б л а к о	
				p u b l i c		j u l k i s o i k e u d e l l i n e n	ს ა ჯ ა რ ო		p u b b l i c o	p ú b l i c o		
				f l o r a l   w h i t e		f l u o r i v a l k o i n e n						
		d í r k o n o ž e c		f o r a m i n i f e r					f o r a m i n i f e r o	f o r a m i n í f e r o		
			b l æ n d e	g l a r e		k i i l t ä ä				r e l u z i r		
				l o v e   c h i l d	e k s t e r e d z e c o	l e h t o l a p s i			f i g l i o   i l l e g i t t i m o	i l e g í t i m o	д и т я ́   л ю б в и ́	
				c o a s t e r		k e l k k a						
				s p i l l   o n e ' s   g u t s							р а с к о л о ́ т ь с я	
		p ř i v o l a t		s u m m o n	v o k i	k u t s u a			c o n v o c a r e	c o n v o c a r	в ы ́ з в а т ь	
		m a n d l o ň		a l m o n d		m a n t e l i p u u		ש ק ד י ה	m a n d o r l o	a m e n d o e i r a	м и н д а ́ л ь	m l o z i
				b u r n   o n e ' s   f i n g e r s							о б ж е ́ ч ь с я	
				u n s c h e d u l e						d e s m a r c a r		
				k e y   l o g g e r						k e y l o g g e r		
		t e k t i t		t e k t i t e							т е к т и ́ т	
				a d j e c t i v a l l y	a d j e k t i v e	a d j e k t i i v i s e s t i				a d j e t i v a m e n t e		
		n i c   v e   z l é m	n o   o f f e n s e	n o   o f f e n s e					s e n z a   o f f e s a	s e m   o f e n s a	б е з   о б и ́ д	
				D i o s c u r i		d i o s k u u r i t						
				e t u d e		e t y d i				é t u d e	э т ю ́ д	
				e l e c t r i c   f l u x		s ä h k ö v u o						
		V e l k ý   p ů s t		L e n t	F a s t s e z o n o	p a a s t o n a i k a	დ ი დ ი   მ ა რ ხ ვ ა	ה ת ע נ י ת	Q u a r e s i m a	q u a r e s m a	В е л и ́ к и й   п о с т	
				a c r i d						á c r i d o	е ́ д к и й	
			n e d l æ g g e	d i s b a n d		l a k k a u t t a a				d e b a n d a r	р а с ф о р м и р о в а ́ т ь	
A u s t r a l i ë	অ স ্ ট ্ র ে ল ি য ় া	A u s t r á l i e	A u s t r a l i e n	A u s t r a l i a	A ŭ s t r a l i o	A u s t r a l i a n   l i i t t o v a l t i o	ა ვ ს ტ რ ა ლ ი ა	א ו ֹ ס ְ ט ְ ר ַ ל ְ י ָ ה	A u s t r a l i a	A u s t r á l i a	А в с т р а ́ л и я	A u s t r a l i a
				i m p u n i t y		k o s k e m a t t o m u u s				i m p u n i d a d e	и м п ь ю ́ н и т и	
				a c c o m m o d a t i o n i s m						a c o m o d a c i o n i s m o		
				c o l d   h a n d s ,   w a r m   h e a r t					m a n i   f r e d d e ,   c u o r e   c a l d o		х о л о д н ы е   р у к и ,   г о р я ч е е   с е ́ р д ц е	
				r e m i t		v e t ä y t y ä						
				b a t t i n g		p u m p u l i						
				A i g a l e o							Э г а ́ л е о	
		h o u b a		s p o n g e		s i e n i					г у ́ б к а	
				b o m b								b o m u
				o v e r t h w a r t							п о п е р ё к	
				v i d e o   p r o j e c t o r		v i d e o t y k k i				v i d e o p r o j e t o r		
				u n h a p p y		s o p i m a t o n	შ ე უ ფ ე რ ე ბ ე ლ ი				н е п о д х о д я ́ щ и й	
		s c h i z o g o n i e		s c h i z o g o n y								
s e i l	প া ল	p l a c h t a	s e j l	s a i l	v e l o	p u r j e	ა ფ რ ა	מ ִ פ ְ ר ָ ש ׂ	v e l a	v e l a	в е т р и ́ л о	s h i r a
v i s v a l k		o r l o v e c	f i s k e ø r n	o s p r e y	f i ŝ a g l o	k a l a s ä ä s k i			f a l c o   p e s c a t o r e	á g u i a - p e s q u e i r a	с к о п а ́	k i p u n g u
				a l a r m	a l a r m i	h ä l y t t ä ä				a l a r m a r		
				c o n s u m p t i v e		k u l u t t a v a						
				s l i t h y		l i m a h d i k a s					х л и ́ в к и й	
				T r i n i d a d i a n						t r i n i d a d e n s e		M t r i n i d a d i
g e v a a r l i k		n e b e z p e č n ý	f a r l i g	d a n g e r o u s	d a n ĝ e r a	v a a r a l l i n e n	ს ა ხ ი ფ ა თ ო	מ ס ו כ נ ת	p e r i c o l o s a	p e r i g o s o	р и с к о ́ в а н н ы й	
				t a k e   i t   e a s y		r a u h o i t t u a				s o s s e g a r	н е   в о л н у ́ й т е с ь	
				f e t i a l						f e c i a l		
				T u a r e g		t u a r e g i						
				c o u r t e s a n		h o v i n a i n e n			c o r t i g i a n a	c o r t e s ã	к у р т и з а ́ н к а	
				P a n - T u r k i s m							п а н т ю р к и ́ з м	
				v i s u a l l y   i m p a i r e d		n ä k ö v a m m a i n e n						
				t e r r a c o t t a	t e r a k o t o	t e r r a k o t t a						
				c o m p o s i t e   b u i l t		k o m p o s i i t t i r a k e n t e i n e n						
				h e				ה				
				n u c l e a r   f o r c e		y d i n v o i m a						
		p ř e d v o j		v a n g u a r d		e t u j o u k k o			a v a n g u a r d i a	a n t e g u a r d a	а в а н г а ́ р д	
		k o m o d a		c h e s t   o f   d r a w e r s	k o m o d o	l i p a s t o			c a s s e t t i e r a	c ô m o d a	с к р ы ́ н я	
			R e p u b l i k k e n   M a l a w i	R e p u b l i c   o f   M a l a w i						R e p ú b l i c a   d e   M a l a w i		
				s q u a t t e r   c a m p							б и д о н в и л ь	
				d e c a d e s l o n g		v u o s i k y m m e n i e n   p i t u i n e n						
S a g a r i a		Z a c h a r i á š	Z a k a r i a s	Z e c h a r i a h		S a k a r j a			Z a c c a r i a	Z a c a r i a s	З а х а ́ р и я	
				d o w n		a l h a a l l a				e m   b a i x o		
		k u ř í   o k o		c o r n	k a l o	l i i k a v a r v a s			d u r o n e	c a l o	м о з о ́ л ь	
				a l l   i n   a   d a y ' s   w o r k							э т о   м о я   р а б о т а	
				b e a g l e		n u u s k i j a						
		c v o č e k	ø r e s t i k k e	s t u d							г в о ́ з д и к	
				f i r s t - d e g r e e		e n s i m m ä i s e n   a s t e e n   p a l o v a m m a						
				s p a c e w o m a n							к о с м о н а ́ в т к а	
				c r y o s c o p i c					c r i o s c o p i c o			
			h v i d e   t i r s d a g	S h r o v e   T u e s d a y		l a s k i a i n e n				t e r ç a - f e i r a   d e   c a r n a v a l	м а ́ с л е н и ц а	
		Š t ě t í n	S t e t t i n	S z c z e c i n		S z c z e c i n	შ ჩ ე ც ი ნ ი		S t e t t i n o	S z c z e c i n	Щ е ́ ц и н	
				- p l e g i c					- p l e g i c o	- p l é g i c o		
				l i p o s c u l p t u r e					l i p o s c u l t u r a			
				s t e n t o r i a n					s t e n t o r e e		г р о м о п о д о б н ы й	
				M i l e i k o w s k y				מ י ל י ק ו ב ס ק י				
				b e d r o o m   c o m m u n i t y						c i d a d e   d o r m i t ó r i o	с п а ́ л ь н ы й   р а й о ́ н	
				p a n s e x u a l	a j n s e k s e m a							
				U n i o n   J a c k							Ю н и о ́ н   Д ж е к	
				c l o s e   u p		t i i v i s t ä ä						
				p r o v i d e n c e		j o h d a t u s			p r o v v i d e n z a	p r o v i d ê n c i a	п р о в и д е ́ н и е	
				w e l l - r o u n d e d		m o n i p u o l i n e n						
			d ø r l ø s	d o o r l e s s	s e n p o r d a	o v e t o n						
				c l i p p i n g		l e h t i l e i k e						
		k r á l   z v í ř a t	d y r e n e s   k o n g e	k i n g   o f   b e a s t s	r e ĝ o   d e   b e s t o j	e l ä i n t e n   k u n i n g a s			r e   d e g l i   a n i m a l i	r e i   d o s   a n i m a i s	ц а ́ р ь   з в е р е ́ й	
		l i t e r á r n í	l i t t e r æ r	l i t e r a r y	l i t e r a t u r a	k i r j a l l i n e n			l e t t e r a r i o	l i t e r á r i o	к н и ́ ж н ы й	
				s p a r k l y		k u p l i v a					ш и п у ч и й	
				p a n d e i s t					p a n d e i s t a			
				t i a r a		t i a r a			t i a r a	t i a r a	т и а ́ р а	
			b a l s a m i s k	b a l m y		l e u t o					н е ́ ж н ы й	
				p a l i n s p a s t i c					p a l i n s p a s t i c o			
				s h a b u - s h a b u							с я ́ б у - с я ́ б у	
				b a i l   b o n d		t a k u u						
		n e p r a k t i č n o s t		i m p r a c t i c a l i t y								
				h a v e   a   b o n e   t o   p i c k		o l l a   k a n a   k y n i t t ä v ä n ä					и м е т ь   п р е т е н з и ю	
				a f f i x i v e					a f f i s s i v o			
				r e f i n e d							о ч и ́ щ е н н ы й	
				V a t i c a n   C i t y   S t a t e				מ ְ ד ִ י נ ַ ת   ק ִ ר ְ ײ ַ ת   ה ָ װ ַ ת ִ י ק ָ ן		E s t a d o   d a   C i d a d e   d o   V a t i c a n o		
				d o w n g r a d e							п о н и ́ з и т ь	
				V e g a n		- l a i n e n						
		p ř e c h o d   p r o   c h o d c e		c r o s s w a l k		s u o j a t i e			s t r i s c e   p e d o n a l i	f a i x a	п е ш е х о ́ д н ы й   п е р е х о ́ д	
				p r o p y l					p r o p i l e	p r o p i l		
		n a n e j v ý š	h ø j s t	a t   m o s t	m a k s i m u m e	m a k s i m i s s a a n	მ ა ქ ს ი მ უ მ	ל ְ כ ָ ל   ה ַ י ּ ו ֹ ת ֵ ר		n o   m á x i m o	м а ́ к с и м у м	
				p i t c h e r					a t t i v o	a t i v o		
				t u g		r a a h a t a			t r a s c i n a r e		п о т а щ и ́ т ь	
				a l t e r n a t i v e   m e d i c i n e		v a i h t o e h t o l ä ä k e t i e d e				m e d i c i n a   a l t e r n a t i v a	н е т р а д и ц и о ́ н н а я   м е д и ц и ́ н а	
				L i g u r i a n   S e a		L i g u r i a n m e r i			M a r   L i g u r e		Л и г у р и ́ й с к о е   м о ́ р е	
				u n i n v i t e d							н е п р и г л а ш ё н н ы й	
				b a r d o l a t r y						b a r d o l a t r i a		
		t r a c h e i t i d a		t r a c h e i t i s					t r a c h e i t e	t r a q u e í t e		
				D a n a e							Д а н а ́ я	
				s i g h		h u o k a i l l a					в з д о х н у ́ т ь	
		m e t a b o l i c k á   d r á h a		m e t a b o l i c   p a t h w a y								
				t s u r i s		r i e s a					п р о б л е м а	
				a m m o   b e l t		a m m u s v y ö						
				s o b o r n o s t							с о б о ́ р н о с т ь	
				n u r s e h o u n d					c a g n o l a			
				m i n i s t e r i a l		a v u s t a v a						
				n a g a n a		n a g a n a						
s e		- i n		- ' s	d e	- n			d i	d e	- ы н	
				h o g		o m i a					ж а д н и ч а т ь	
				i m m e r s i o n		u p o t u s k a s t e						
		h e k t i c k ý		h e c t i c		h e k t i n e n			f r e n e t i c o		с у е т л и в ы й	
		o p l ý v a t		a b o u n d					e s s e r e   a b b o n d a n t e	a b u n d a r		
				i n t r o d u c t i o n   a g e n c y		a v i o l i i t t o v ä l i t t ä j ä						
				a l m o n d   p a s t e		m a n t e l i m a s s a		ב ְ ּ צ ֵ ק   ש ְ ׁ ק ֵ ד ִ י ם	p a s t a   r e a l e	m a s s a   d e   a m ê n d o a		
				g r a f t		v o i t e l u r a h a						
				s a r c o m e r e					s a r c o m e r o	s a r c ô m e r o	с а р к о м е р	
			s e g l	s i g i l						s e l o		
				h y p e r b o r e a n						h i p e r b ó r e o		
		h ř i š t ě	s a n d k a s s e	p l a y g r o u n d		l e i k k i p a i k k a				p a r q u i n h o	д е ́ т с к а я   п л о щ а ́ д к а	
				d i q u a r k						d i q u a r k		
				f r o m   d u s k   t o   d a w n						d e   s o l   a   s o l		
				c o r e		p a n t t i			c a p a r r a			
				T r i n i t a r i a n		k o l m i y h t e i n e n						
		r o z h ř e š e n í		a b s o l u t i o n	a b s o l v o					a b s o l v i ç ã o	п р о щ е ́ н и е	
r u t h e r f o r d i u m		r u t h e r f o r d i u m	r u t h e r f o r d i u m	r u t h e r f o r d i u m	r u t e r f o r d i o	r u t h e r f o r d i u m	კ უ რ ჩ ა ტ ო ვ ი უ მ ი	ר ו ת ר פ ו ר ד י ו ם	r u t h e r f o r d i o	r u t e r f ó r d i o	р е з е р ф о ́ р д и й	
				t h i n k   m u c h   o f		a r v o s t a a					б ы т ь   в ы с о к о ́ г о   м н е ́ н и я	
	ট ্ র ্ য া ক ্ ট র	t r a k t o r	t r a k t o r	t r a c t o r	t r a k t o r o	t r a k t o r i	ტ რ ა ქ ტ ო რ ი	ט ְ ר ַ ק ְ ט ו ֹ ר	t r a t t o r e	t r a t o r	т р а ́ к т о р	t r e k t a
				f r o n t o n					f r o n t o n e			
				d e s e r t i c o l o u s					d e s e r t i c o l o			
			n e s t o r i a n i s m e	N e s t o r i a n i s m		n e s t o r i o l a i s u u s				n e s t o r i a n i s m o	н е с т о р и а ́ н с т в о	
				h e y		h e i				h e m	ч о	
			p a l a v e r	p a l a v e r		p u l i n a			s t o r i e	p a l a v r e a d o	п р а ́ з д н а я   б о л т о в н я ́	
				b l o t   o u t					s c o m p a r i r e			
		z r a n i t		i n j u r e		h a a v o i t t a a			f e r i r e	m a c h u c a r	р а ́ н и т ь	j e r u h i
				p o e t a s t e r					p o e t a s t r o	p o e t a ç o		
				t r a c h e o t o m y					t r a c h e o t o m i a		т р а х е о т о м и ́ я	
		b e s t i e	d y r	b e a s t	b e s t o	p o n t s o	ც ხ ო ვ ე ლ ი	ב ְ ּ ה ֵ מ ָ ה	b e l v a	b e s t a	б е ́ с т и я	n u n d a
				n u c l e o t i d e	n u k l e o t i d o	n u k l e o t i d i			n u c l e o t i d e	n u c l e o t í d e o	н у к л е о т и ́ д	
				e l e c t r o l u m i n e s c e n c e		e l e k t r o l u m i n e s e n s s i			e l e t t r o l u m i n e s c e n z a	e l e t r o l u m i n e s c ê n c i a	э л е к т р о л ю м и н е с ц е ́ н ц и я	
				f u s i d i c   a c i d		f u s i d i i n i h a p p o						
				c e s s p o o l		l ä ä v ä			f o g n a	c h i q u e i r o		
				t o l l - f r e e		m a k s u t o n						
				s t o n e							с т о ́ у н	j i w e
			r e p l i k	r e t o r t		s i v a l l u s			r e p l i c a	r é p l i c a	п а р и р о в а н и е	
		n e z k u š e n o s t		i n e x p e r i e n c e							н е о ́ п ы т н о с т ь	
				H i p p o c r a t i c					i p p o c r a t i c o			
				P a v i a					P a v i a			
		b r u s l a ř k a		s k a t e r		l u i s t e l i j a			p a t t i n a t o r e	p a t i n a d o r	к о н ь к о б е ́ ж к а	
p a m p o e n t j i e s		p ř í u š n i c e		m u m p s		s i k o t a u t i			o r e c c h i o n i	c a x u m b a	с в и ́ н к а	
			s e s a m	s e s a m e		s e e s a m i	ქ უ ნ ჯ უ ტ ი		s e s a m o	g e r g e l i m	к у н ж у ́ т	
		n o c l e h		l o d g i n g		m a j o i t u s				a l o j a m e n t o	н о ч л е ́ г	
				l a m b		k a r i t s o i d a						
				a n d   h o w		j a   m i l l ä   t a v a l l a			e c c o m e !	e   c o m o	е щ ё   к а к	
				h e a p		k a s a t a			a c c a t a s t a r e	a m o n t o a r		
				m a n l i n e s s		m i e h u u s						
				r e a c h a b l e	a t i n g e b l a				a c c e s s i b i l e			
		h o d n o t a		w o r t h		a r v o			v a l o r e	v a l o r	с т о ́ и м о с т ь	
		d ě r o v a č k a		p u n c h		r e i ’ i t i n				p e r f u r a d o r a	д ы р о к о ́ л	
		v o l n ý	f r i	f r e e	l i b e r a	v a p a a		ח ו פ ש י	l i b e r o	l i v r e	с в о б о ́ д н ы й	
				i n v e r t				ה ָ פ ַ ך		i n v e r t e r		
v i o o l	ব ে হ া ল া	h o u s l e	v i o l i n	v i o l i n	v i o l o n o	v i u l u	ვ ი ო ლ ი ნ ო	כ י נ ו ר	v i o l i n o	v i o l i n o	с к р и ́ п к а	f i d l a
		ř e h o t		g u f f a w		h ö r ö n a u r u	ხ ა რ ხ ა რ ი		r i s a t a   f r a g o r o s a	g a r g a l h a d a	р ж а ́ н и е	
		b a r i é r a		w a l l		m u u r i			b a r r i e r a	b a r r e i r a	п р е п я ́ т с т в и е	k u t a
				R a p a   N u i						p a s c o e n s e	п а с х а л ь с к и й	
		z a k o t v i t		a n c h o r	a n k r i	a n k k u r o i d a			a n c o r a r e	a n c o r a r		
		j i n d e	a n d e t s t e d s	e l s e w h e r e	a l i l o k e	t o i s a a l l a			a l t r o v e	a l h u r e s		
				b o d i l y					c o r p o r a l m e n t e			
		č i r o k	d u r r a	s o r g h u m		d u r r a	ს ო რ გ ო	ד ו ר ה	s o r g o	s o r g o	г а о л я ́ н	m t a m a
				Q i n g   d y n a s t y							д и н а ́ с т и я   Ц и н	
			S i g r i d	S i g r i d		S i i r i						
				s a c r i f i c e								m u c h a n g a
				C a s p a r	G a s p a r o		გ ა ს პ ა რ ი	ג ִ ּ ז ְ ב ָ ּ ר	G a s p a r e	G a s p a r	К а с п а ́ р	
				h e e l		k o r k k a r i						
				u p p e r   l i m i t		y l ä r a j a						
		j e   c o s i   s h n i l é h o   v e   s t á t ě   d á n s k é m	d e r   e r   n o g e t   r å d d e n t   i   D a n m a r k	s o m e t h i n g   i s   r o t t e n   i n   t h e   s t a t e   o f   D e n m a r k		o n   j o t a i n   m ä t ä ä   T a n s k a n m a a l l a		מ ש ה ו   ר ק ו ב   ב מ מ ל כ ת   ד נ מ ר ק	c ' è   d e l   m a r c i o   i n   D a n i m a r c a	h á   a l g o   d e   p o d r e   n o   r e i n o   d a   D i n a m a r c a	н е л а ́ д н о   ч т о ́ - т о   в   д а ́ т с к о м   к о р о л е ́ в с т в е	
				t h e r m i o n i c					t e r m o i o n i c o			
		k l í č o v ý		k e y					e s s e n z i a l e	c h a v e	в е д у ́ щ и й	u f u n g u o
b a k s t e e n		c i h l a	m u r s t e n	b r i c k		t i i l i				t i j o l o	к и р п и ́ ч	
				F e r r a r a					F e r r a r a			
				p l y							к у р с и ́ р о в а т ь	
				p a r e n t i n g		k a s v a t u s						
				l o o s e   e n d s		r ä s t i t						
				s t a y		p y s ä h d y s						
			H a r a l d	H a r o l d								
		p r o t e s t		p r o t e s t	p r o t e s t o	p r o t e s t i	პ რ ო ტ ე ს ტ ი		p r o t e s t a	p r o t e s t o	п р о т е ́ с т	
				b o t t l e   s l i n g		s ä k k i s o l m u						
				R e p u b l i c a n		r e p u b l i k a a n i	რ ე ს პ უ ბ ლ ი კ ე ლ ი			r e p u b l i c a n o	р е с п у б л и к а ́ н к а	
				b o b							к а р э ́	
				B r u c e							Б р у с	
				m y r m e c o c h o r y							м и р м е к о х о р и я	
				c o r r e c t i v e   r a p e						e s t u p r o   c o r r e t i v o	к о р р е к т и ́ р у ю щ е е   и з н а с и ́ л о в а н и е	
				l i t t l e						p e q u e n o		
s k r y f		p s á t	f o r f a t t e	w r i t e	v e r k i	k i r j o i t t a a		כ ָ ּ ת ַ ב		e s c r e v e r	н а п и с а ́ т ь	
				t h e r m o e l e c t r i c i t y					t e r m o e l e t t r i c i t à			
				s k i n		l u n t a t a						
				r a d i a t e		s ä t e i l l ä						
				b a r o q u e						b a r r o c o		
				u s a n c e					u s a n z a			
				c h l o r i c					c l o r i c o	c l o r í d r i c o		
				l i n e a r		t a s a s o u k k a						
				s p a r r o w - f a r t		s i a n p i e r e m ä						
		k o n t r a b a n d		c o n t r a b a n d					c o n t r a b b a n d o	c o n t r a b a n d o	к о н т р а б а ́ н д а	
	ব ি ট ল ্ ‌ স			B e a t l e s		B e a t l e s	ბ ი თ ლ ზ ი	ה ב י ט ל ס		B e a t l e s	Б и т л ы ́	
	শ ি ল ং			S h i l l o n g							Ш и л л о ́ н г	
H a b a k u k		A b a k u k	H a b a k k u k	H a b a k k u k				ח ֲ ב ַ ק ּ ו ּ ק	A b a c u c c o	H a b a c u c	А в в а к у м	
				d u g o u t   c a n o e								m t u m b w i
				g r a f t		v a r t t a a			i n n e s t a r e	e n x e r t a r		
				d o m i c i l i a t e		k o t i u t t a a						
			æ r b a r	m o d e s t		s i v e ä					с к р о ́ м н ы й	
				c l i p p e r		k l i p p e r i		ק ְ ל ִ י פ ֶ ּ ר			к л и ́ п е р	
				a n t i d i s c u r s i v e						a n t i d i s c u r s i v o		
				a c i d i f y		k a t k e r o i t u a						
		l i c h o b ě ž n í k o v ý		t r a p e z o i d a l								
	ব ি চ ্ ছ ু		S k o r p i o n e n	S c o r p i u s		S k o r p i o n i		ע ַ ק ְ ר ָ ב	S c o r p i o n e	E s c o r p i ã o	С к о р п и о ́ н	
				o a r f i s h		a i r o k a l a			p e s c e   r e m o			
		n e r o v n ý		u n e v e n		p a r i t o n	უ თ ა ნ ა ს წ ო რ ო			d e s i g u a l	н е ч ё т н ы й	
				t r a c t a b l e		t a i p u i s a				m a n e j á v e l	п о с л у ́ ш н ы й	
				l o v a b l e n e s s	a m i n d e c o					a m a b i l i d a d e		
				A b b a d i d						a b á d i d a		
				f r e e   g r o u p					g r u p p o   l i b e r o			
				c a n d l e r							с в е ч н и ́ ц а	
				b e g u i l e		j u o n i t e l l a			t u r l u p i n a r e	e n g a n a r	о б м а н у ́ т ь	
				s h a r p		t e r ä e s i n e				p o n t a		
				s o m b r e r o		k i n n u s e t						
				s m a l l   b e e r		y k k ö s o l u t						
				f o l l o w   i n   s o m e o n e ' s   f o o t s t e p s							и д т и ́   п о   ч ь и м - л и б о   с т о п а ́ м	
		p o d s t a t n ý		s u b s t a n t i a l		o l e n n a i n e n			s o s t a n z i a l e	s u b s t a n c i a l	в а ́ ж н ы й	
				p a p e r		t a p e t o i d a				e m p a p e l a r		
				a n t i p h o n y					a n t i f o n i a	a n t i f o n i a		
				n o r t h e r l y		p o h j o i s t u u l i					с е ́ в е р н ы й   в е ́ т е р	
			m e n t a l i t e t	m e n t a l i t y		m i e l e n l a a t u			m e n t a l i t à	m e n t a l i d a d e	м е н т а ́ л ь н о с т ь	
				s m a l l   f r y		p i k k u v ä k i					р е б я т и ́ ш к и	
M i d d e - O o s t e	ম ধ ্ য প ্ র া চ ্ য	S t ř e d n í   v ý c h o d	M e l l e m ø s t e n	M i d d l e   E a s t	M e z a   O r i e n t o	L ä h i - i t ä	შ უ ა   ა ღ მ ო ს ა ვ ლ ე თ ი	ה ַ מ ִ ּ ז ְ ר ָ ח   ה ַ ת ִ ּ י כ ו ֹ ן	M e d i o   O r i e n t e	O r i e n t e   M é d i o	Б л и ́ ж н и й   В о с т о ́ к	
				c h e m i c a l   c a s t r a t i o n		k e m i a l l i n e n   k a s t r a a t i o						
		v y l é č i t e l n ý		c u r a b l e					c u r a b i l e			
				- p o u n d e r		- n a u l a i n e n						
				g r a v y   t r a i n		p a l k k i o v i r k a			o t t e n e r e   m o l t o   c o n   p o c o   s f o r z o	m a m a t a	т ё п л о е   м е ́ с т о	
		s p á c h a t	b e g å	c o m m i t		t e h d ä			c o m m e t t e r e	c o m e t e r	с о в е р ш а ́ т ь	
				c a n i n u s   m u s c l e					c a n i n o			
				A n a n s i						A n a n s i		
				m i x e r		b l a n d i s						
				w a t t l e					r e c i n z i o n e		п л е т ё н ы й   з а б о ́ р	
				C r a i o v a							К р а й о ́ в а	
				c a r a t		k a r a a t t i		ק ר א ט	c a r a t o	q u i l a t e	к а р а ́ т	
			g r a t i n	g r a t i n		g r a t i i n i						
				r e d u c e		p e l k i s t ä ä						
				d e p r e s s i v e					d e p r e s s i v o	d e p r e s s i v o		
		k r u h o v ý   o b l o u k		c i r c u l a r   a r c		y m p y r ä k a a r i		ח ל ק   מ מ ע ג ל				
				c o n s e r v a t i v e		k o n s e r v a t i i v i					к о н с е р в а ́ т о р	
				e y e g r o u n d		s i l m ä n p o h j a						
				a n t r a l						a n t r a l		
			s l a g	s t r o k e		i s k u			c o l p o	p a n c a d a	у д а ́ р	
				m a n t l e	m a n t e l o	m a n t i a		א ַ ד ֶ ּ ר ֶ ת		m a n t o	м а н т о ́	
				O j i b w e	A n i ŝ i n a b e k a   l i n g v o	o j i b w a				o j i b w e	о д ж и ́ б в е	
				c h r o n i c					c r o n i c o	c r ó n i c a		
				h e f t y		t u k e v a					о б и ́ л ь н ы й	
			v i f t e	f a n		l e y h y t e l l ä	დ ა ბ ე რ ვ ა			v e n t i l a r	о в е в а ́ т ь	s h a b i k i
			u d b e t a l i n g	d o w n   p a y m e n t		k ä s i r a h a			a c c o n t o	s i n a l	а в а ́ н с	
				o b l i v i o n		k a d o t u s						
				m e a t   a n d   p o t a t o e s					c a r n e   e   p a t a t e			
				w a s h b o w l		p e s u a l l a s					у м ы в а ́ л ь н и к	
		d á l n i c e	m o t o r v e j	m o t o r w a y	a ŭ t o v o j o	m o o t t o r i t i e			a u t o s t r a d a	a u t o e s t r a d a	а в т о с т р а ́ д а	
