Orthography	Segments
B O L S T E R	b oʊ l s t ɝ
B O L S T E R E D	b oʊ l s t ɝ d
B O L S T E R I N G	b oʊ l s t ɝ ɪ ŋ
B O L S T E R S	b oʊ l s t ɝ z
B O L T	b oʊ l t
B O L T E	b oʊ l t
B O L T E D	b oʊ l t ʌ d
B O L T E D	b oʊ l t ɪ d
B O L T E N	b oʊ l t ʌ n
B O L T E R	b oʊ l t ɝ
B O L T H O U S E	b oʊ l t h aʊ s
B O L T I N G	b oʊ l t ɪ ŋ
B O L T O N	b oʊ l t ʌ n
B O L T S	b oʊ l t s
B O L T Z	b oʊ l t s
B O L T Z M A N N S	b oʊ l t s m ʌ n z
B O L T Z M A N N S	b oʊ l t s m ʌ n z
B O L U S	b oʊ l ʌ s
B O L Y A R D	b ʌ l j ɑ ɹ d
B O L Z	b oʊ l z
B O M	b ɑ m
B O M A G	b oʊ m æ ɡ
B O M A N	b oʊ m ʌ n
B O M A R	b ʌ m ɑ ɹ
B O M B	b ɑ m
B O M B	b ɔ m
B O M B S	b ɑ m z
B O M B A	b ɑ m b ʌ
B O M B A R D	b ɑ m b ɑ ɹ d
B O M B A R D E D	b ɑ m b ɑ ɹ d ɪ d
B O M B A R D I E R	b ɑ m b ɝ d ɪ ɹ
B O M B A R D I E R S	b ɑ m b ɝ d ɪ ɹ z
B O M B A R D I N G	b ɑ m b ɑ ɹ d ɪ ŋ
B O M B A R D M E N T	b ɑ m b ɑ ɹ d m ʌ n t
B O M B A R D M E N T S	b ɑ m b ɑ ɹ d m ʌ n t s
B O M B A S T	b ɑ m b æ s t
B O M B A S T I C	b ɑ m b æ s t ɪ k
B O M B A Y	b ɑ m b eɪ
B O M B A Y S	b ɑ m b eɪ z
B O M B E C K	b ɑ m b ɛ k
B O M B E D	b ɑ m d
B O M B E R	b ɑ m ɝ
B O M B E R S	b ɑ m ɝ z
B O M B E R G	b ɑ m b ɝ ɡ
B O M B E R G E R	b ɑ m b ɝ ɡ ɝ
B O M B E R S	b ɑ m ɝ z
B O M B I N G	b ɑ m ɪ ŋ
B O M B I N G S	b ɑ m ɪ ŋ z
B O M B M A K E R	b ɑ m m eɪ k ɝ
B O M B M A K I N G	b ɑ m m eɪ k ɪ ŋ
B O M B S	b ɑ m z
B O M B S H E L L	b ɑ m ʃ ɛ l
B O M B S H E L L S	b ɑ m ʃ ɛ l z
B O M E R	b oʊ m ɝ
B O M G A R D N E R	b ɑ m ɡ ɑ ɹ d n ɝ
B O M M A R I T O	b ɑ m ɝ i t oʊ
B O M M E R	b ɑ m ɝ
B O N	b ɑ n
B O N A	b oʊ n ʌ
B O N A C C I	b oʊ n ɑ tʃ i
B O N A D I O	b oʊ n ɑ d i oʊ
B O N A D O N N A	b ɑ n ʌ d ɑ n ʌ
B O N A D U C E	b ɑ n ʌ d u tʃ i
B O N A D U C E	b ɑ n ʌ d u s
B O N A F I D E	b ɑ n ʌ f aɪ d
B O N A F I D E	b oʊ n ʌ f aɪ d
B O N A N N I	b oʊ n ɑ n i
B O N A N N O	b oʊ n ɑ n oʊ
B O N A N Z A	b ʌ n æ n z ʌ
B O N A P A R T E	b oʊ n ʌ p ɑ ɹ t
B O N A P A R T E S	b oʊ n ʌ p ɑ ɹ t s
B O N A R	b oʊ n ɝ
B O N A S E R A	b oʊ n ɑ s ɛ ɹ ʌ
B O N A V E N T U R A	b oʊ n ɑ v ɛ n t ʊ ɹ ʌ
B O N A V E N T U R E	b ɑ n ʌ v ɛ n tʃ ɝ
B O N A V I A	b ɑ n eɪ v i ʌ
B O N A V I T A	b oʊ n ɑ v i t ʌ
B O N A W I T Z	b ɑ n ʌ w ɪ t s
B O N C Z E K	b ɑ n tʃ ɛ k
B O N D	b ɑ n d
B O N D S	b ɑ n d z
B O N D A G E	b ɑ n d ɪ dʒ
B O N D A R	b ʌ n d ɑ ɹ
B O N D E	b ɑ n d
B O N D E D	b ɑ n d ʌ d
B O N D E D	b ɑ n d ɪ d
B O N D E R M A N	b ɑ n d ɝ m ʌ n
B O N D H O L D E R	b ɑ n d h oʊ l d ɝ
B O N D H O L D E R S	b ɑ n d h oʊ l d ɝ z
B O N D H O L D E R S	b ɑ n d h oʊ l d ɝ z
B O N D I	b ɑ n d i
B O N D I N G	b ɑ n d ɪ ŋ
B O N D R A	b ɑ n d ɹ ʌ
B O N D S	b ɑ n d z
B O N D S	b ɑ n d z
B O N D T	b ɑ n t
B O N D U R A N T	b oʊ n d ʊ ɹ ʌ n t
B O N D Y	b ɑ n d i
B O N E	b oʊ n
B O N E B R A K E	b oʊ n b ɹ eɪ k
B O N E C R U S H E R	b oʊ n k ɹ ʌ ʃ ɝ
B O N E C U T T E R	b oʊ n k ʌ t ɝ
B O N E D	b oʊ n d
B O N E L E S S	b oʊ n l ʌ s
B O N E L L I	b oʊ n ɛ l i
B O N E L L O	b oʊ n ɛ l oʊ
B O N E N B E R G E R	b oʊ n ʌ n b ɝ ɡ ɝ
B O N E N F A N T	b oʊ n f ʌ n t
B O N E R	b oʊ n ɝ
B O N E S	b oʊ n z
B O N E S T E E L	b oʊ n s t i l
B O N E T	b oʊ n t
B O N E T T I	b oʊ n ɛ t i
B O N E Y	b oʊ n i
B O N F A N T I	b oʊ n f ɑ n t i
B O N F I E L D	b ɑ n f i l d
B O N F I G L I O	b ɑ n f ɪ ɡ l i oʊ
B O N F I R E	b ɑ n f aɪ ɝ
B O N F I R E S	b ɑ n f aɪ ɝ z
B O N G	b ɑ ŋ
B O N G A R D	b ʌ ŋ ɡ ɑ ɹ d
B O N G A R T E N	b ɑ ŋ ɡ ɑ ɹ t ʌ n
B O N G E R S	b ɔ ŋ ɝ z
B O N G I O R N O	b oʊ n dʒ ɔ ɹ n oʊ
B O N G I O V A N N I	b oʊ n dʒ oʊ v ɑ n i
B O N G J I N	b ɔ ŋ dʒ ɪ n
B O N G O	b ɑ ŋ ɡ oʊ
B O N G O S	b ɑ ŋ ɡ oʊ z
B O N H A M	b ɑ n h ʌ m
B O N I	b oʊ n i
B O N I C A	b ɑ n ɪ k ʌ
B O N I E R	b ɑ n j ɝ
B O N I F A C I O	b ɑ n ɪ f eɪ s i oʊ
B O N I F A S	b ɑ n ɪ f ʌ z
B O N I F A Y	b ɑ n ɪ f eɪ
B O N I F I E L D	b ɑ n ɪ f i l d
B O N I L L A	b ʌ n ɪ l ʌ
B O N I N	b oʊ n ɪ n
B O N I N E	b oʊ n i n i
B O N I N G	b oʊ n ɪ ŋ
B O N I N I	b oʊ n i n i
B O N I N O	b oʊ n i n oʊ
B O N I O R	b oʊ n i ɝ
B O N I O R	b oʊ n w ɑ ɹ
B O N I T A	b oʊ n i t ʌ
B O N I T O	b ʌ n i t oʊ
B O N J O U R	b ʌ n ʒ ʊ ɹ
B O N K	b ɑ ŋ k
B O N K E R	b ɔ ŋ k ɝ
B O N K E R S	b ɑ ŋ k ɝ z
B O N K O W S K I	b ʌ ŋ k ɔ f s k i
B O N N	b ɑ n
B O N N S	b ɑ n z
B O N N E	b ɑ n
B O N N E A U	b ʌ n oʊ
B O N N E L L	b ɑ n ʌ l
B O N N E M A	b ɑ n ɪ m ʌ
B O N N E R	b ɔ n ɝ
B O N N E S	b ɔ n z
B O N N E T	b ɑ n ʌ t
B O N N E T T	b ɑ n ɪ t
B O N N E T T E	b ʌ n ɛ t
B O N N E V I L L E	b ɑ n ʌ v ɪ l
B O N N E V I L L E S	b ɑ n ʌ v ɪ l z
B O N N E Y	b ɑ n i
B O N N I B E L	b ɑ n ɪ b ɛ l
B O N N I B E L L E	b ɑ n ɪ b ɛ l
B O N N I E	b ɑ n i
B O N N I E S	b ɑ n i z
B O N N I N	b ɑ n ɪ n
B O N N O R	b ɑ n ɝ
B O N N Y	b ɑ n i
B O N O	b oʊ n oʊ
B O N O S	b oʊ n oʊ z
B O N O B O	b ɑ n ɑ b oʊ
B O N O B O	b ɑ n ʌ b ʌ
B O N O B O S	b ɑ n ɑ b oʊ z
B O N O B O S	b ɑ n ʌ b ʌ z
B O N O M O	b ɑ n ʌ m oʊ
B O N S	b ɑ n s
B O N S A I	b ɑ n s aɪ
B O N S A L L	b oʊ n s ɑ l
B O N S E R	b ɑ n s ɝ
B O N S I G N O R E	b oʊ n s i ɡ n ɔ ɹ i
B O N T A	b ɑ n t ʌ
B O N T E	b ɑ n t
B O N T E M P O	b ɑ n t ɛ m p oʊ
B O N T R A G E R	b ɑ n t ɹ eɪ ɡ ɝ
B O N U M	b oʊ n ʌ m
B O N U R A	b oʊ n ʊ ɹ ʌ
B O N U S	b oʊ n ʌ s
B O N U S E S	b oʊ n ʌ s ɪ z
B O N V I L L A I N	b ɑ n v ɪ l eɪ n
B O N V I L L E	b oʊ n v ɪ l
B O N W E L L	b ɑ n w ɛ l
B O N W I T	b ɑ n w ɪ t
B O N W I T S	b ɑ n w ɪ t s
B O N Y	b oʊ n i
B O N Z O	b ɑ n z oʊ
B O O	b u
B O O B	b u b
B O O B S	b u b z
B O O B Y	b u b i
B O O C K	b u k
B O O D L E	b u d ʌ l
B O O D L E S	b u d ʌ l z
B O O D Y	b u d i
B O O E	b ɑ oʊ
B O O E D	b u d
B O O E E	b u i
B O O G I E	b u ɡ i
B O O G I E	b ʊ ɡ i
B O O G I E W O O G I E	b u ɡ i w u ɡ i
B O O G I E W O O G I E	b ʊ ɡ i w ʊ ɡ i
B O O H E R	b u ɝ
B O O I N G	b u ɪ ŋ
B O O K	b ʊ k
B O O K S	b ʊ k s
B O O K B I N D E R	b ʊ k b aɪ n d ɝ
B O O K B I N D E R S	b ʊ k b aɪ n d ɝ z
B O O K C A S E	b ʊ k k eɪ s
B O O K C A S E S	b ʊ k k eɪ s ɪ z
B O O K C E L L A R	b ʊ k s ɛ l ɝ
B O O K C E L L A R S	b ʊ k s ɛ l ɝ z
B O O K E D	b ʊ k t
B O O K E N D	b ʊ k ɛ n d
B O O K E N D S	b ʊ k ɛ n d z
B O O K E R	b ʊ k ɝ
B O O K E R S	b ʊ k ɝ z
B O O K E R S	b ʊ k ɝ z
B O O K I E	b ʊ k i
B O O K I E S	b ʊ k i z
B O O K I N	b ʊ k ɪ n
B O O K I N G	b ʊ k ɪ ŋ
B O O K I N G S	b ʊ k ɪ ŋ z
B O O K I S H	b ʊ k ɪ ʃ
B O O K K E E P E R	b ʊ k k i p ɝ
B O O K K E E P E R S	b ʊ k k i p ɝ z
B O O K K E E P I N G	b ʊ k k i p ɪ ŋ
B O O K L E T	b ʊ k l ɪ t
B O O K L E T S	b ʊ k l ɪ t s
B O O K M A K E R	b ʊ k m eɪ k ɝ
B O O K M A K E R S	b ʊ k m eɪ k ɝ z
B O O K M A K I N G	b ʊ k m eɪ k ɪ ŋ
B O O K M A N	b ʊ k m ʌ n
B O O K M A R K	b ʊ k m ɑ ɹ k
B O O K M A R K S	b ʊ k m ɑ ɹ k s
B O O K M O B I L E	b ʊ k m oʊ b i l
B O O K M O B I L E S	b ʊ k m oʊ b i l z
B O O K N O T E	b ʊ k n oʊ t
B O O K N O T E S	b ʊ k n oʊ t s
B O O K O U T	b ʊ k aʊ t
B O O K S	b ʊ k s
B O O K S	b ʊ k s
B O O K S E L L E R	b ʊ k s ɛ l ɝ
B O O K S E L L E R S	b ʊ k s ɛ l ɝ z
B O O K S H E L F	b ʊ k ʃ ɛ l f
B O O K S H E L V E S	b ʊ k ʃ ɛ l v z
B O O K S H O P	b ʊ k ʃ ɑ p
B O O K S H O P S	b ʊ k ʃ ɑ p s
B O O K S M I T H	b ʊ k s m ɪ θ
B O O K S T A N D	b ʊ k s t æ n d
B O O K S T A N D S	b ʊ k s t æ n d z
B O O K S T O P	b ʊ k s t ɑ p
B O O K S T O P S	b ʊ k s t ɑ p s
B O O K S T O R E	b ʊ k s t ɔ ɹ
B O O K S T O R E S	b ʊ k s t ɔ ɹ z
B O O K W A L T E R	b ʊ k w ʌ l t ɝ
B O O K W O R M	b ʊ k w ɝ m
B O O L E	b u l
B O O L E A N	b u l i ʌ n
B O O M	b u m
B O O M S	b u m z
B O O M B O X	b ʊ m b ɑ k s
B O O M B O X E S	b ʊ m b ɑ k s ɪ z
B O O M E D	b u m d
B O O M E R	b u m ɝ
B O O M E R A N G	b u m ɝ æ ŋ
B O O M E R A N G E D	b u m ɝ æ ŋ d
B O O M E R S	b u m ɝ z
B O O M E R S	b u m ɝ z
B O O M E R S H I N E	b u m ɝ ʃ aɪ n
B O O M H O W E R	b u m h oʊ ɝ
B O O M I N G	b u m ɪ ŋ
B O O M L E T	b u m l ʌ t
B O O M S	b u m z
B O O M S M A	b u m z m ʌ
B O O M T O W N	b u m t aʊ n
B O O N	b u n
B O O N D O C K S	b u n d ɑ k s
B O O N D O G G L E	b u n d ɑ ɡ ʌ l
B O O N D O G G L E S	b u n d ɑ ɡ ʌ l z
B O O N E	b u n
B O O N S	b u n z
B O O N S T R A	b u n s t ɹ ʌ
B O O N T O N	b u n t ʌ n
B O O N V I L L E	b u n v ɪ l
B O O P	b u p
B O O R	b ʊ ɹ
B O O R A S	b ʊ ɹ ʌ z
B O O R D	b ʊ ɹ d
B O O R D A	b ʊ ɹ d ʌ
B O O R D A S	b ʊ ɹ d ʌ z
B O O R I S H	b ʊ ɹ ɪ ʃ
B O O R I S H N E S S	b ʊ ɹ ɪ ʃ n ʌ s
B O O R M A N	b ʊ ɹ m ʌ n
B O O R S	b ʊ ɹ z
B O O R S T I N	b u ɹ s t ɪ n
B O O R T Z	b ɔ ɹ t s
B O O S	b u z
B O O S E	b u s
B O O S T	b u s t
B O O S T E D	b u s t ɪ d
B O O S T E R	b u s t ɝ
B O O S T E R S	b u s t ɝ z
B O O S T E R I S M	b u s t ɝ ɪ z ʌ m
B O O S T E R S	b u s t ɝ z
B O O S T I N G	b u s t ɪ ŋ
B O O S T S	b u s t s
B O O T	b u t
B O O T E	b u t
B O O T E D	b u t ɪ d
B O O T E N	b u t ʌ n
B O O T H	b u θ
B O O T H B Y	b u θ b i
B O O T H E	b u ð
B O O T H M A N	b u θ m ʌ n
B O O T H R O Y D	b u θ ɹ ɔɪ d
B O O T H S	b u θ s
B O O T I E	b u t i
B O O T I E S	b u t i z
B O O T I N G	b u t ɪ ŋ
B O O T L E G	b u t l ɛ ɡ
B O O T L E G G E R	b u t l ɛ ɡ ɝ
B O O T L E G G E R S	b u t l ɛ ɡ ɝ z
B O O T L E G G I N G	b u t l ɛ ɡ ɪ ŋ
B O O T L E G S	b u t l ɛ ɡ z
B O O T O N	b u t ʌ n
B O O T S	b u t s
B O O T S T R A P	b u t s t ɹ æ p
B O O T S T R A P S	b u t s t ɹ æ p s
B O O T Y	b u t i
B O O T Z	b u t s
B O O Z	b u z
B O O Z E	b u z
B O O Z E R	b u z ɝ
B O O Z I E R	b u z i ɝ
B O O Z I N G	b u z ɪ ŋ
B O O Z Y	b u z i
B O P	b ɑ p
B O P E E P	b oʊ p i p
B O P E R A	b oʊ p ɛ ɹ ʌ
B O P H A	b oʊ f ʌ
B O P H U T H A T S W A N A	b oʊ f u θ ɑ t s w ɑ n ʌ
B O P P	b ɑ p
B O P P E R	b ɑ p ɝ
B O P P E R S	b ɑ p ɝ z
B O Q U I S T	b ɑ k w ɪ s t
B O R A	b ɔ ɹ ʌ
B O R A H	b ɔ ɹ ʌ
B O R A K	b ɔ ɹ ʌ k
B O R A L	b ɔ ɹ ʌ l
B O R A W S K I	b ɝ ɑ f s k i
B O R A X	b ɔ ɹ æ k s
B O R B A	b ɔ ɹ b ʌ
B O R C H A R D	b ɝ ʃ ɑ ɹ d
B O R C H A R D T	b ɝ ʃ ɑ ɹ d t
B O R C H E L T	b ɔ ɹ k ɪ l t
B O R C H E R D I N G	b ɔ ɹ k ɝ d ɪ ŋ
B O R C H E R S	b ɔ ɹ k ɝ z
B O R C H E R T	b ɔ ɹ k ɝ t
B O R C K	b ɔ ɹ k
B O R D A	b ɔ ɹ d ʌ
B O R D A S	b ɔ ɹ d ʌ z
B O R D A L L O	b ɔ ɹ d æ l oʊ
B O R D A S	b ɔ ɹ d ʌ z
B O R D E A U	b ɝ d oʊ
B O R D E A U X	b ɔ ɹ d oʊ
B O R D E L L O	b ɔ ɹ d ɛ l oʊ
B O R D E L O N	b ɔ ɹ d ɪ l ɑ n
B O R D E N	b ɔ ɹ d ʌ n
B O R D E N S	b ɔ ɹ d ʌ n z
B O R D E N A V E	b ɔ ɹ d ɛ n ɑ v
B O R D E N A V E	b ɔ ɹ d ɛ n ɑ v
B O R D E R	b ɔ ɹ d ɝ
B O R D E R S	b ɔ ɹ d ɝ z
B O R D E R E D	b ɔ ɹ d ɝ d
B O R D E R I N G	b ɔ ɹ d ɝ ɪ ŋ
B O R D E R L I N E	b ɔ ɹ d ɝ l aɪ n
B O R D E R S	b ɔ ɹ d ɝ z
B O R D E S	b ɔ ɹ d z
B O R D M A N	b ɔ ɹ d m ʌ n
B O R D N E R	b ɔ ɹ d n ɝ
B O R D O N A R O	b ɔ ɹ d oʊ n ɑ ɹ oʊ
B O R D W E L L	b ɔ ɹ d w ɛ l
B O R E	b ɔ ɹ
B O R E A L I S	b ɔ ɹ i æ l ʌ s
B O R E D	b ɔ ɹ d
B O R E D O M	b ɔ ɹ d ʌ m
B O R E K	b ɔ ɹ ɪ k
B O R E L	b ɔ ɹ ʌ l
B O R E L L	b ɔ ɹ ʌ l
B O R E L L A	b ɔ ɹ ɛ l ʌ
B O R E L L I	b ɔ ɹ ɛ l i
B O R E L L O	b ɔ ɹ ɛ l oʊ
B O R E N	b ɔ ɹ ʌ n
B O R E N S	b ɔ ɹ ʌ n z
B O R E N S T E I N	b ɔ ɹ ʌ n s t aɪ n
B O R E N S T E I N	b ɔ ɹ ʌ n s t i n
B O R E R	b ɔ ɹ ɝ
B O R E S	b ɔ ɹ z
B O R G	b ɔ ɹ ɡ
B O R G E	b ɔ ɹ dʒ
B O R G E L T	b ɔ ɹ ɡ ɪ l t
B O R G E N	b ɔ ɹ ɡ ʌ n
B O R G E R	b ɔ ɹ ɡ ɝ
B O R G E R D I N G	b ɔ ɹ ɡ ɝ d ɪ ŋ
B O R G E R T	b ɔ ɹ ɡ ɝ t
B O R G E S	b ɔ ɹ ɡ eɪ s
B O R G E S O N	b ɔ ɹ ɡ ɪ s ʌ n
B O R G E S S	b ɔ ɹ ɡ ɪ s
B O R G H I	b ɔ ɹ ɡ i
B O R G I A	b ɔ ɹ dʒ ʌ
B O R G M A N	b ɔ ɹ ɡ m ʌ n
B O R G M A N N	b ɔ ɹ ɡ m ʌ n
B O R G M E Y E R	b ɔ ɹ ɡ m aɪ ɝ
B O R G S T R O M	b ɔ ɹ ɡ s t ɹ ʌ m
B O R G W A R D T	b ɔ ɹ ɡ w ɔ ɹ t
B O R I C	b ɔ ɹ ɪ k
B O R I N	b ɔ ɹ ɪ n
B O R I N G	b ɔ ɹ ɪ ŋ
B O R I S	b ɔ ɹ ɪ s
B O R I S	b ɔ ɹ ɪ s
B O R I S S	b ɔ ɹ ɪ s ɪ z
B O R J A	b ɔ ɹ j ʌ
B O R J A S	b ɔ ɹ j ʌ z
B O R K	b ɔ ɹ k
B O R K S	b ɔ ɹ k s
B O R K E N H A G E N	b ɔ ɹ k ɪ n h ɑ ɡ ʌ n
B O R K E N H A G E N	b ɔ ɹ k ɪ n h eɪ ɡ ʌ n
B O R K O W S K I	b ɝ k ɔ f s k i
B O R L A N D	b ɔ ɹ l ʌ n d
B O R L A N D S	b ɔ ɹ l ʌ n d z
B O R M A N	b ɔ ɹ m ʌ n
B O R M A N S	b ɔ ɹ m ʌ n z
B O R M A N N	b ɔ ɹ m ʌ n
B O R N	b ɔ ɹ n
B O R N S	b ɔ ɹ n z
B O R N E	b ɔ ɹ n
B O R N E M A N	b ɔ ɹ n m ʌ n
B O R N E M A N N	b ɔ ɹ n m ʌ n
B O R N E O	b ɔ ɹ n i oʊ
B O R N E R	b ɔ ɹ n ɝ
B O R N H O L D T	b ɔ ɹ n h oʊ l t
B O R N H O R S T	b ɔ ɹ n h ɔ ɹ s t
B O R N M A N	b ɔ ɹ n m ʌ n
B O R N S	b ɔ ɹ n z
B O R N S T E I N	b ɔ ɹ n s t aɪ n
B O R N S T E I N	b ɔ ɹ n s t i n
B O R N T R A G E R	b ɔ ɹ n t ɹ eɪ ɡ ɝ
B O R O	b ɝ oʊ
B O R O C C E	b ʌ ɹ oʊ tʃ i
B O R O F F	b ɔ ɹ ɔ f
B O R O I A N	b ɔ ɹ ɔɪ ʌ n
B O R O N	b ɔ ɹ ɑ n
B O R O S	b ɝ oʊ z
B O R O S A G E	b ɔ ɹ ʌ s ɪ dʒ
B O R O S K I	b ɝ aʊ s k i
B O R O U G H	b ɝ oʊ
B O R O U G H S	b ɝ oʊ z
B O R O U G H S	b ɝ oʊ z
B O R O W I A K	b ɝ aʊ i æ k
B O R O W I C Z	b ɝ oʊ v ɪ tʃ
B O R O W I E C	b ɝ aʊ i k
B O R O W S K I	b ɝ ɔ f s k i
B O R O W S K Y	b ɝ aʊ s k i
B O R O W Y	b ɝ aʊ i
B O R Q U E Z	b ɔ ɹ k w ɛ z
B O R R A S	b ɔ ɹ ʌ z
B O R R E	b ɔ ɹ
B O R R E G O	b ɔ ɹ ɛ ɡ oʊ
B O R R E L L	b ɔ ɹ eɪ l
B O R R E L L I	b ɔ ɹ ɛ l i
B O R R E L L O	b ɔ ɹ ɛ l oʊ
B O R R E R O	b ɔ ɹ ɛ ɹ oʊ
B O R R I S	b ɔ ɹ ɪ s
B O R R O F F	b ɔ ɹ ɔ f
B O R R O R	b ɔ ɝ ɹ
B O R R O W	b ɑ ɹ oʊ
B O R R O W E D	b ɑ ɹ oʊ d
B O R R O W E R	b ɑ ɹ oʊ ɝ
B O R R O W E R S	b ɑ ɹ oʊ ɝ z
B O R R O W E R S	b ɑ ɹ oʊ ɝ z
B O R R O W E R S	b ɔ ɹ ʌ ɝ z
B O R R O W I N G	b ɑ ɹ oʊ ɪ ŋ
B O R R O W I N G S	b ɑ ɹ oʊ ɪ ŋ z
B O R R O W M A N	b ɑ ɹ oʊ m ʌ n
B O R R O W S	b ɑ ɹ oʊ z
B O R R U S O	b ɔ ɹ u s oʊ
B O R S	b ɔ ɹ z
B O R S C H	b ɔ ɹ ʃ
B O R S C H T	b ɔ ɹ ʃ t
B O R S E	b ɔ ɹ s
B O R S E T H	b ɔ ɹ s ɪ θ
B O R S K I	b ɔ ɹ s k i
B O R S O D	b ɔ ɹ s ɔ d
B O R S O D I	b ɔ ɹ s ɔ d i
B O R S T	b ɔ ɹ s t
B O R S U K	b ɔ ɹ s ʌ k
B O R T	b ɔ ɹ t
B O R T E L	b ɔ ɹ t ɛ l
B O R T E N	b ɔ ɹ t ʌ n
B O R T H	b ɔ ɹ θ
B O R T H W I C K	b ɔ ɹ θ w ɪ k
B O R T L E	b ɔ ɹ t ʌ l
B O R T N E R	b ɔ ɹ t n ɝ
B O R T N I C K	b ɔ ɹ t n ɪ k
B O R T O N	b ɔ ɹ t ʌ n
B O R T Z	b ɔ ɹ t s
B O R U C H	b ɔ ɹ ʌ k
B O R U C K I	b ɝ ʌ t s k i
B O R U F F	b ɔ ɹ ʌ f
B O R U M	b ɔ ɹ ʌ m
B O R U N D A	b ɔ ɹ u n d ʌ
B O R U P	b ɔ ɹ ʌ p
B O R Y S	b ɔ ɹ i z
B O S	b ɑ s
B O S A K	b oʊ s ʌ k
B O S A R G E	b ɑ s ɑ ɹ ɡ
B O S C A R I N O	b oʊ s k ɑ ɹ i n oʊ
B O S C H	b ɔ ʃ
B O S C H E E	b ɔ ʃ i
B O S C H E N	b ɔ ʃ ʌ n
B O S C H E R T	b ɔ ʃ ɝ t
B O S C H W I T Z	b ɔ ʃ w ɪ t s
B O S C I A	b oʊ s tʃ ʌ
B O S C O	b ɔ s k oʊ
B O S E	b oʊ z
B O S E M A N	b oʊ s m ʌ n
B O S E N D O R F E R	b oʊ z ʌ n d ɔ ɹ f ɝ
B O S E R	b oʊ z ɝ
B O S H	b ɑ ʃ
B O S H A R T	b ɑ ʃ ɑ ɹ t
B O S H E A R S	b ɑ ʃ ɪ ɹ z
B O S H E L L	b ɑ ʃ ʌ l
B O S H E R	b ɑ ʃ ɝ
B O S H E R S	b ɑ ʃ ɝ z
B O S K I N	b ɔ s k ɪ n
B O S K O	b oʊ s k oʊ
B O S K O V I C H	b ɑ s k ʌ v ɪ tʃ
B O S L E G O	b ɔ s l eɪ ɡ oʊ
B O S L E R	b ɑ s ʌ l ɝ
B O S L E R	b ɑ z l ɝ
B O S L E Y	b ɑ z l i
B O S M A	b oʊ s m ʌ
B O S M A N	b ɑ s m ʌ n
B O S N I A	b ɑ z n i ʌ
B O S N I A S	b ɑ z n i ʌ z
B O S N I A N	b ɑ z n i ʌ n
B O S N I A N S	b ɑ z n i ʌ n z
B O S N I A N S	b ɑ z n i ʌ n z
B O S N I A S	b ɑ z n i ʌ z
B O S O	b oʊ s oʊ
B O S O M	b ʊ z ʌ m
B O S Q I	b ɑ s k i
B O S Q U E Z	b oʊ s k w ɛ z
B O S S	b ɑ s
B O S S	b ɔ s
B O S S	b ɔ s
B O S S ' S	b ɔ s ɪ z
B O S S A R D	b ʌ s ɑ ɹ d
B O S S A R T	b ʌ s ɑ ɹ t
B O S S E	b ɑ s
B O S S E D	b ɑ s t
B O S S E N	b ɑ s ʌ n
B O S S E R M A N	b ɔ s ɝ m ʌ n
B O S S E R T	b ɑ s ɝ t
B O S S E S	b ɔ s ɪ z
B O S S E S	b ɔ s ɪ z
B O S S H A R D T	b ɔ s h ɑ ɹ t
B O S S H A R T	b ɔ s h ɑ ɹ t
B O S S I	b oʊ s i
B O S S I D Y	b ɔ s ɪ d i
B O S S I E	b ɔ s i
B O S S I E R	b ɔ s i ɝ
B O S S L E R	b ɑ s ʌ l ɝ
B O S S L E R	b ɑ s l ɝ
B O S S M A N	b ɔ s m ʌ n
B O S S O	b oʊ s oʊ
B O S S Y	b ɔ s i
B O S T	b ɑ s t
B O S T E L M A N	b ɑ s t ʌ l m ʌ n
B O S T E R	b ɑ s t ɝ
B O S T I A N	b ɑ s tʃ ɪ n
B O S T I C	b ɑ s t ɪ k
B O S T I C K	b oʊ s t ɪ k
B O S T O C K	b oʊ s t ɑ k
B O S T O N	b ɑ s t ʌ n
B O S T O N	b ɔ s t ʌ n
B O S T O N S	b ɔ s t ʌ n z
B O S T O N I A N	b ɔ s t oʊ n i ʌ n
B O S T O N I A N S	b ɑ s t oʊ n i ʌ n z
B O S T R A	b ɑ s t ɹ ʌ
B O S T R O M	b ɑ s t ɹ ʌ m
B O S T W I C K	b ɑ s t w ɪ k
B O S W E L L	b ɑ z w ɛ l
B O S W O R T H	b ɔ z w ɝ θ
B O T	b ɔ t
B O T A N I C	b ʌ t æ n ɪ k
B O T A N I C A L	b ʌ t æ n ɪ k ʌ l
B O T A N I C A L L Y	b ʌ t æ n ʌ k ʌ l i
B O T A N I C A L L Y	b ʌ t æ n ʌ k l i
B O T A N I S T	b ɑ t ʌ n ɪ s t
B O T A N I S T S	b ɑ t ʌ n ɪ s t s
B O T A N Y	b ɑ t ʌ n i
B O T C H	b ɑ tʃ
B O T C H E D	b ɑ tʃ t
B O T E L E R	b ɑ t ʌ l ɝ
B O T E L H O	b oʊ t ɛ l oʊ
B O T E L L O	b oʊ t ɛ l oʊ
B O T E R O	b oʊ t ɛ ɹ oʊ
B O T F L Y	b ɑ t f l aɪ
B O T H	b oʊ θ
B O T H A	b ɑ θ ʌ
B O T H A	b oʊ t ʌ
B O T H A	b oʊ t ʌ
B O T H A S	b ɑ θ ʌ z
B O T H A S	b oʊ t ʌ z
B O T H A S	b oʊ t ʌ z
B O T H A M	b ɑ θ ʌ m
B O T H A M S	b ɑ θ ʌ m z
