Orthography	Segments
M C G R E G O R Y	m ʌ ɡ ɹ ɛ ɡ ɝ i
M C I L R A T H	m æ k ʌ l ɹ æ θ
M C K E A N D	m ʌ k i n d
M C K E N Z I E	m ʌ k ɛ n z i
M C N I S H	m ʌ k n ɪ ʃ
M E D I A	m i d i ʌ
M E D I C S	m ɛ d ɪ k s
M E D I G A P	m ɛ d ɪ ɡ æ p
M E L D	m ɛ l d
M E L I C A N	m ɛ l ɪ k ʌ n
M E L L E Y	m ɛ l i
M E R I T L E S S	m ɛ ɹ ɪ t l ʌ s
M E R L	m ɝ l
M E S A R O S	m eɪ s ɑ ɹ oʊ z
M E T R O S E X U A L	m ɛ t ɹ ʌ s ɛ k ʃ u ʌ l
M E T T L E N	m ɛ t l ʌ n
M E T Z G E R S	m ɛ t s ɡ ɝ z
M I C R O B I L T	m aɪ k ɹ oʊ b ɪ l t
M I L B A N K	m ɪ l b æ ŋ k
M I L E S T O N E	m aɪ l s t oʊ n
M I L E W S K I	m ɪ l ɛ f s k i
M I L L I K I N	m ɪ l ɪ k ɪ n
M I L S T E A D	m ɪ l s t ɛ d
M I L T	m ɪ l t
M I N E R A L O G I S T	m ɪ n ɝ ɑ l ʌ dʒ ɪ s t
M I S S O U R I S	m ʌ z ɝ ʌ z
M I Y A H A R A	m i j ɑ h ɑ ɹ ʌ
M L O T O K	m ʌ l ɑ t ɑ k
M N E M O N I C	n i m ɑ n ɪ k
M O H A M A D	m ʌ h ɑ m ʌ d
M O K O E N A	m ʌ k oʊ n ʌ
M O M E N T S	m oʊ m ʌ n t s
M O N E Y W E E K	m ʌ n i w i k
M O N T H L O N G	m ʌ n θ l ɔ ŋ
M O R I S O N	m ɔ ɹ ɪ s ʌ n
M O R M A N	m ɔ ɹ m ʌ n
M O T I V A T E	m oʊ t ʌ v eɪ t
M R O C Z E K	m ɹ ɑ tʃ ɛ k
M U D D I E R	m ʌ d i ɝ
M U L L D O R F E R	m ʌ l d ɔ ɹ f ɝ
M U L L I K I N	m ʌ l ɪ k ɪ n
M U L T I D E X	m ʌ l t ɪ d ɛ k s
M U S I C S	m j u z ɪ k s
M Y S T I F I E D	m ɪ s t ʌ f aɪ d
N A K E D	n eɪ k ʌ d
N A P P I N G	n æ p ɪ ŋ
N A T I O N A I R	n eɪ ʃ ʌ n ɛ ɹ
N A T U R A L I Z E D	n æ tʃ ɝ ʌ l aɪ z d
N A T U R A L I Z E S	n æ tʃ ɝ ʌ l aɪ z ɪ z
N A U S E A T E D	n ɔ z i eɪ t ʌ d
N A V A	n ɑ v ʌ
N A V A R R O	n ʌ v ɑ ɹ oʊ
N E O P R O B E	n i oʊ p ɹ oʊ b
N E R I O	n ɛ ɹ i oʊ
N E S S L E R	n ɛ s l ɝ
N E U T R A L I Z E S	n u t ɹ ʌ l aɪ z ɪ z
N E W B E R R Y	n u b ɛ ɹ i
N E W B O L D	n u b oʊ l d
N E W T O W N E	n u t aʊ n
N I E M E Y E R	n i m aɪ ɝ
N I K K E I S	n i k eɪ z
N I N E S	n aɪ n z
N I X I E	n ɪ k s i
N O N A	n oʊ n ɑ
N O N B I N D I N G	n ɑ n b aɪ n d ɪ ŋ
N O N E N T I T Y	n ɑ n ɛ n t ʌ t i
N O N S T O P S	n ɑ n s t ɑ p s
N O N V O L A T I L E	n ɑ n v ɑ l ʌ t ʌ l
N U D E L M A N	n ʌ d ʌ l m ʌ n
N U T R I C L E A N	n u t ɹ ɪ k l i n
N Y E R S	n aɪ ɹ z
N Y G A A R D	n aɪ ɡ ɑ ɹ d
O	oʊ
O B L I Q U E L Y	ʌ b l i k l i
O B R I A N	oʊ b ɹ aɪ ʌ n
O B T A I N E D	ʌ b t eɪ n d
O F F E N D E D	ʌ f ɛ n d ʌ d
O F I V E	oʊ f aɪ v
O H L S O N	oʊ l s ʌ n
O K O N I E W S K I	oʊ k ɑ n j ɛ f s k i
O O H S	u z
O P E R A T I O N A L L Y	ɑ p ɝ eɪ ʃ n ʌ l i
O P H T H A L M O L O G I S T	ɑ f θ ʌ m ɑ l ʌ dʒ ɪ s t
O P I N E S	oʊ p aɪ n z
O P T I M I S T I C	ɑ p t ɪ m ɪ s t ɪ k
O R K S	ɔ ɹ k s
O R T E G A S	ɔ ɹ t eɪ ɡ ʌ z
O T T I N G	ɑ t ɪ ŋ
O U T F L O W S	aʊ t f l oʊ z
O V A R Y	oʊ v ɝ i
O V E R H O L T	oʊ v ɝ h oʊ l t
O V E R H O L T Z E R	oʊ v ɝ h oʊ l t z ɝ
O V E R P O P U L A T E S	oʊ v ɝ p ɑ p j ʌ l eɪ t s
O V E R S H A D O W E D	oʊ v ɝ ʃ æ d oʊ d
O V E R W H E L M I N G	oʊ v ɝ h w ɛ l m ɪ ŋ
O W N S	oʊ n z
P A I N S	p eɪ n z
P A L L E T	p æ l ʌ t
P A N E L I S T	p æ n ʌ l ʌ s t
P A P A R A Z Z I S	p ɑ p ɑ ɹ ɔ z i z
P A R A L Y T I C	p ɛ ɹ ʌ l ɪ t ɪ k
P A R D O N E D	p ɑ ɹ d ʌ n d
P A R L I A M E N T A R I A N	p ɑ ɹ l ʌ m ɛ n t ɛ ɹ i ʌ n
P A R L I A M E N T S	p ɑ ɹ l ʌ m ɛ n t s
P A R L O W	p ɑ ɹ l oʊ
P A R S	p ɑ ɹ z
P A T R O N A G E	p eɪ t ɹ ʌ n ʌ dʒ
P A T T E R E D	p æ t ɝ d
P A W L O W I C Z	p ɑ v l ʌ v ɪ tʃ
P A Y B A C K	p eɪ b æ k
P E A L E	p i l
P E L L E U	p ɛ l u
P E N T A M I D I N E	p ɛ n t æ m ɪ d i n
P E R E G R I N E S	p ɛ ɹ ʌ ɡ ɹ i n z
P E R I M E T E R	p ɝ ɪ m ʌ t ɝ
P E R I T O N E A L	p ɛ ɹ i t oʊ n i ʌ l
P E R R E T T I	p ɝ ɹ ɛ t i
P E R S O N N E L	p ɝ s ʌ n ɛ l
P E T O	p i t oʊ
P H I L O D E N D R O N	f ɪ l ʌ d ɛ n d ɹ ʌ n
P H O T O R E F R A C T I V E	f oʊ t oʊ ɹ ɪ f ɹ æ k t ɪ v
P I C K F O R D	p ɪ k f ɝ d
P I C O U	p i k u
P I G O T T	p ɪ ɡ ʌ t
P I T F A L L S	p ɪ t f ɔ l z
P L A C A T E	p l eɪ k eɪ t
P L A I T S	p l eɪ t s
P L A N N E R	p l æ n ɝ
P L A Y B O O K	p l eɪ b ʊ k
P L A Y O F F S	p l eɪ ɔ f s
P L E S S I N G E R	p l ɛ s ɪ ŋ ɝ
P L O E G E R	p l oʊ ɡ ɝ
P L U S S	p l ʌ s ɪ z
P O L E S	p oʊ l z
P O L S T O N	p oʊ l s t ʌ n
P O M O L O G Y	p oʊ m ɑ l ʌ dʒ i
P O P P E L L	p ɑ p ʌ l
P O R A D A	p ɔ ɹ ɑ d ʌ
P O R N O G R A P H I C	p ɔ ɹ n ʌ ɡ ɹ æ f ɪ k
P O T T O R F F	p ɑ t ɝ f
P O U D R I E R	p aʊ d ɹ i ɝ
P O U S S O N	p u s ɑ n
P O U T R E	p aʊ t ɝ
P O W E R S	p aʊ ɝ z
P R A Y E R	p ɹ eɪ ɝ
P R A Y E R F U L	p ɹ eɪ ɝ f ʌ l
P R E S C O T	p ɹ ɛ s k ʌ t
P R E S E N T I N G	p ɹ ɪ z ɛ n t ɪ ŋ
P R E S S	p ɹ ɛ s
P R E S S L E R	p ɹ ɛ s l ɝ
P R I S B U R G	p ɹ ɪ s b ɝ ɡ
P R I V O T T	p ɹ ɪ v ʌ t
P R O C L I V I T Y	p ɹ oʊ k l ɪ v ʌ t i
P R O C R E A T E S	p ɹ oʊ k ɹ i eɪ t s
P R O S E R V	p ɹ oʊ s ɝ v
P R O T E I N	p ɹ oʊ t i n
P S Y C H E D	s aɪ k t
P U B L I S H E R S	p ʌ b l ɪ ʃ ɝ z
P U L K R A B E K	p ʌ l k ɹ ʌ b ɪ k
P U T I N	p u t ɪ n
Q U I N N S	k w ɪ n z
Q U I T	k w ɪ t
R A H R I G	ɹ æ ɹ ɪ ɡ
R A I L C A R S	ɹ eɪ l k ɑ ɹ z
R A I N E	ɹ eɪ n
R A M E R I Z	ɹ ɑ m ɛ ɹ i z
R A N C H	ɹ æ n tʃ
R A N D I	ɹ æ n d i
R A N D O M	ɹ æ n d ʌ m
R A Y M A R K S	ɹ eɪ m ɑ ɹ k s
R E A L I Z I N G	ɹ i ʌ l aɪ z ɪ ŋ
R E B U F F E D	ɹ i b ʌ f t
R E C O R D E R	ɹ i k ɔ ɹ d ɝ
R E C U R R I N G	ɹ i k ɝ ɪ ŋ
R E D L I N	ɹ ɛ d l ɪ n
R E F E R E N D U M S	ɹ ɛ f ɝ ɛ n d ʌ m z
R E F O C U S E D	ɹ i f oʊ k ʌ s t
R E F U T A T I O N	ɹ ɛ f j u t eɪ ʃ ʌ n
R E G R E T T A B L Y	ɹ ɪ ɡ ɹ ɛ t ʌ b l i
R E H A B I L I T A T I V E	ɹ i ʌ b ɪ l ʌ t eɪ t ɪ v
R E H A B I L I T A T O R S	ɹ i h ʌ b ɪ l ʌ t eɪ t ɝ z
R E I M P O S E D	ɹ i ɪ m p oʊ z d
R E I N T E R P R E T E D	ɹ i ɪ n t ɝ p ɹ ʌ t ɪ d
R E M E M B E R S	ɹ ɪ m ɛ m b ɝ z
R E M O L D E D	ɹ i m oʊ l d ɪ d
R E S E M B L I N G	ɹ i z ɛ m b l ɪ ŋ
R E S O R T S	ɹ ɪ z ɔ ɹ t s
R E W A R D	ɹ i w ɔ ɹ d
R E W I R E	ɹ i w aɪ ɝ
R E Y N A	ɹ eɪ n ʌ
R H O A D E S	ɹ oʊ d z
R I A L S	ɹ aɪ l z
R I C K E Y	ɹ ɪ k i
R I D I N G E R	ɹ aɪ d ɪ ŋ ɝ
R I N G E D	ɹ ɪ ŋ d
R I V A L	ɹ aɪ v ʌ l
R I V A L I N G	ɹ aɪ v l ɪ ŋ
R I V I E R E S	ɹ ɪ v j ɪ ɹ ɛ z
R O B S O N	ɹ ɑ b s ʌ n
R O G G O W	ɹ ɑ ɡ oʊ
R O M A N T I C A L L Y	ɹ oʊ m æ n t ɪ k l i
R O O T L E S S	ɹ u t l ʌ s
R O S E V E A R	ɹ oʊ z v ɪ ɹ
R O S S B O R O U G H	ɹ ɔ s b ɝ oʊ
R O S W A L D	ɹ ɑ s w ʌ l d
R O U T I N E	ɹ u t i n
R O Y E X S	ɹ ɔɪ ɛ k s ɪ z
R U A	ɹ u ʌ
R U B A L C A B A	ɹ u b ɑ l k ɑ b ʌ
R U C H	ɹ ʌ tʃ
R U D N I K	ɹ ʌ d n ɪ k
R U G G I R E L L O	ɹ u dʒ ɪ ɹ ɛ l oʊ
R U I N I N G	ɹ u ɪ n ɪ ŋ
R U L L I	ɹ u l i
R U M S	ɹ ʌ m z
R U N N E R S	ɹ ʌ n ɝ z
R U S S I F I E D	ɹ ʌ s ʌ f aɪ d
S A A T C H I	s ɑ tʃ i
S A I N T S A E N S	s eɪ n t s ɑ n z
S A L E H	s ɑ l ɛ h
S A L G A D O	s ɑ l ɡ ɑ d oʊ
S A L O O J E E	s ʌ l u dʒ i
S A M E T	s æ m ɪ t
S A N G U I N E	s æ ŋ ɡ w ɪ n
S A N T I L L A N E S	s æ n t ɪ l eɪ n z
S A P O N E	s ɑ p oʊ n i
S A R I N E	s ɑ ɹ i n i
S A T H R E	s æ θ ɝ
S A T T E R L Y	s æ t ɝ l i
S A U L T	s ɔ l t
S A U N D R A	s ɔ n d ɹ ʌ
S A V O R Y	s eɪ v ɝ i
S A W K A	s ɔ k ʌ
S C H E D U L E	s k ɛ dʒ ʊ l
S C H E I D E R E R	ʃ aɪ d ɝ ɝ
S C H L U T E R	ʃ l u t ɝ
S C H O C K	ʃ ɑ k
S C H O O L T E A C H E R	s k u l t i tʃ ɝ
S C H R E C K	ʃ ɹ ɛ k
S C H R U P P	ʃ ɹ ʌ p
S C H W I S O W	ʃ w ɪ s oʊ
S C O R E K E E P E R	s k ɔ ɹ k i p ɝ
S C O T L A N D	s k ɑ t l ʌ n d
S C O W L I N G	s k aʊ l ɪ ŋ
S C R A N T O N	s k ɹ æ n t ʌ n
S C R A P E	s k ɹ eɪ p
S C R A P P E D	s k ɹ æ p t
S C R E E N I N G	s k ɹ i n ɪ ŋ
S C U F F E D	s k ʌ f t
S E A S O N A L L Y	s i z n ʌ l i
S E E S A W I N G	s i s ɔ ɪ ŋ
S E G U R A	s eɪ ɡ ʊ ɹ ʌ
S E I N F E L D	s aɪ n f ɛ l d
S E L F L E S S N E S S	s ɛ l f l ʌ s n ɪ s
S E L F P E R P E T U A T E	s ɛ l f p ɝ p ɛ tʃ u eɪ t
S E L F P E R P E T U A T I O N	s ɛ l f p ɝ p ɛ tʃ u eɪ ʃ ʌ n
S E R V I C E D	s ɝ v ɪ s t
S E S S I O N	s ɛ ʃ ʌ n
S H A R L A	ʃ ɑ ɹ l ʌ
S H A W H A N	ʃ æ w ʌ n
S H E A R E D	ʃ ɪ ɹ d
S H E N A N D O A H	ʃ ɛ n ʌ n d oʊ ʌ
S H I M K U S	ʃ ɪ m k ʌ s
S H I M M I N	ʃ ɪ m ɪ n
S H I R E L L E	ʃ ɪ ɹ ɛ l
S H R I N E	ʃ ɹ aɪ n
S I C H E L	s ɪ k ʌ l
S I N G E L	s ɪ ŋ ɡ ʌ l
S I T I N G	s aɪ t ɪ ŋ
S K I N N I E R	s k ɪ n i ɝ
S L O A N S	s l oʊ n z
S L U G G E R S	s l ʌ ɡ ɝ z
S M E L L E Y	s m ɛ l i
S N O W D E N	s n oʊ d ʌ n
S O	s oʊ
S O L	s oʊ l
S O Y S A U C E	s ɔɪ s ɔ s
S P E A K E R S	s p i k ɝ z
S P E C I A L I T Y	s p ɛ ʃ i æ l ɪ t i
S P E C U L A T I N G	s p ɛ k j ʌ l eɪ t ɪ ŋ
S P E T S N A Z	s p ɛ t s n æ z
S P O R T	s p ɔ ɹ t
S P R I N G F I E L D S	s p ɹ ɪ ŋ f i l d z
S R I	ɛ s ɑ ɹ aɪ
S R I	s ɹ i
S T A K E S	s t eɪ k s
S T A L L I B R A S S	s t æ l ɪ b ɹ æ s
S T A N F I E L D	s t æ n f i l d
S T A R S T R E A M	s t ɑ ɹ s t ɹ i m
S T A T E H O U S E S	s t eɪ t h aʊ s ɪ z
S T E E P L Y	s t i p l i
S T E I N F E L D	s t aɪ n f ɛ l d
S T E L Z N E R	s t ɛ l z n ɝ
S T I C K I E S T	s t ɪ k i ʌ s t
S T I C K L E S	s t ɪ k ʌ l z
S T I L L I N G S	s t ɪ l ɪ ŋ z
S T I L T S	s t ɪ l t s
S T I N E L S	s t ɪ n ɛ l z
S T L O U I S	s eɪ n t l u ʌ s
S T R E G E	s t ɹ i dʒ
S T R E I S A N D	s t ɹ aɪ s æ n d
S U B S I S T E N C E	s ʌ b s ɪ s t ʌ n s
S U C C E S S I O N	s ʌ k s ɛ ʃ ʌ n
S U M O	s u m oʊ
S U P E R C O O L E D	s u p ɝ k u l d
S U P P L E M E N T A R Y	s ʌ p l ʌ m ɛ n t ʌ ɹ i
S U R P L U S	s ɝ p l ʌ s
S W A I N	s w eɪ n
S Z Y D L O W S K I	ʃ ɪ d l ɔ f s k i
S Z Y M A N S K I	ʃ ɪ m æ n s k i
T A F O Y A	t ɑ f ɔɪ ʌ
T A G G A R T	t æ ɡ ɝ t
T A I L E D	t eɪ l d
T A M I A M I	t æ m i æ m i
T A R	t ɑ ɹ
T A R R A N C E	t ɑ ɹ ʌ n s
T A U G H T	t ɔ t
T A U S C H E R	t aʊ ʃ ɝ
T E E T H I N G	t i ð ɪ ŋ
T E L E P H O N I N G	t ɛ l ʌ f oʊ n ɪ ŋ
T E R R I B L E	t ɛ ɹ ʌ b ʌ l
T E R T I A	t ɛ ɹ ʃ ʌ
T E R Z I A N	t ɝ z i ʌ n
T H A N K L E S S	θ æ ŋ k l ʌ s
T H A T C H E R I S M	θ æ tʃ ɝ ɪ z ʌ m
T H E R M A E	θ ɝ m i
T H E Y L L	ð ɛ l
T H I N	θ ɪ n
T H R E A D F I N	θ ɹ ɛ d f ɪ n
T H U N D E R I N G	θ ʌ n d ɝ ɪ ŋ
T H U R N E R	θ ɝ n ɝ
T I B E T	t ʌ b ɛ t
T I D M O R E	t ɪ d m ɔ ɹ
T I P P E T T S	t ɪ p ɪ t s
T I R E L E S S	t aɪ ɝ l ʌ s
T I S	t ɪ z
T O M E Y	t oʊ m i
T O R A N	t ɔ ɹ ɑ n
T O R I E	t ɔ ɹ i
T O U C H E S	t ʌ tʃ ɪ z
T O W N H O U S E S	t aʊ n h aʊ s ɪ z
T R A I N E R S	t ɹ eɪ n ɝ z
T R A N S K E I	t ɹ æ n z k eɪ
T R E M A I N E	t ɹ ɪ m eɪ n
T R I B L E	t ɹ ɪ b ʌ l
T R I P T Y C H	t ɹ ɪ p t ɪ k
T R O I A N O	t ɹ oʊ i ɑ n oʊ
T R O U B H	t ɹ u b
T S C H U D Y	tʃ u d i
T U M U L T Y	t u m ʌ l t i
T Y C O O N	t aɪ k u n
T Y R E	t aɪ ɝ
T Y R R H E N I A N	t ɝ i n i ʌ n
T Y S I N G E R	t aɪ s ɪ n dʒ ɝ
U E L M A N	ʊ l m ʌ n
U H L E	u ʌ l
U L L A N D	ʌ l ʌ n d
U L T R A S Y S T E M	ʌ l t ɹ ʌ s ɪ s t ʌ m
U M B R I A	ʌ m b ɹ i ʌ
U N B R O K E N	ʌ n b ɹ oʊ k ʌ n
U N E A S I L Y	ʌ n i z ʌ l i
U N H O R S E D	ʌ n h ɔ ɹ s t
U N P A C K	ʌ n p æ k
U N S P A R I N G	ʌ n s p ɛ ɹ ɪ ŋ
U N S U S P E C T I N G	ʌ n s ʌ s p ɛ k t ɪ ŋ
U N T R A C E A B L E	ʌ n t ɹ eɪ s ʌ b ʌ l
U P T U R N	ʌ p t ɝ n
U R B A N A	ɝ b æ n ʌ
U S A G E S	j u s ʌ dʒ ʌ z
U S E F U L S	j u s f ʌ l z
U Y E H A R A	u j eɪ h ɑ ɹ ʌ
V A N L U E	v æ n l u
V A N S A N T	v ɑ n s ʌ n t
V A R I A N C E S	v ɛ ɹ i ʌ n s ɪ z
V A S H I N S K Y	v ʌ ʃ ɪ n s k i
V E L T R I	v ɛ l t ɹ i
V E N T I M I G L I A	v ɛ n t ɪ m ɪ ɡ l i ʌ
V I A T O R	v aɪ eɪ t ɝ
V I C E N Z I	v ɪ s ɛ n z i
V I C I S S I T U D E S	v ɪ s ɪ s ɪ t u d z
V I G I L I A	v i dʒ i l i ʌ
V I L L E G A S	v ɪ l ɪ ɡ ʌ z
V I T A L	v aɪ t ʌ l
V I V I D	v ɪ v ɪ d
V O L U N T E E R S	v ɑ l ʌ n t ɪ ɹ z
V O U G H T	v ɔ t
V O W E L	v aʊ ʌ l
W A D I N G	w eɪ d ɪ ŋ
W A R T H E N	w ɔ ɹ θ ʌ n
W A R W I C K	w ɔ ɹ w ɪ k
W A T F O R D	w ɔ t f ɝ d
W A Y L A I D	w eɪ l eɪ d
W E B B	w ɛ b
W E S T M A R C	w ɛ s t m ɑ ɹ k
W H E R E A B O U T S	h w ɛ ɹ ʌ b aʊ t s
W H I N N E R Y	h w ɪ n ɝ i
W H I T E F I S H	h w aɪ t f ɪ ʃ
W H O L E Y	h ɑ l i
W H O V E	h u v
W I E G A N D	w i ɡ ʌ n d
W I L L E S	w aɪ l z
W I L N E R	w ɪ l n ɝ
W I L T G E N	w ɪ l t ɡ ʌ n
W I N C K L E R	w ɪ ŋ k l ɝ
W I N S O M E	w ɪ n s ʌ m
W I S I N S K I	v ɪ s ɪ n s k i
W O L L I N	w ɑ l ɪ n
W O Z N I C K	w ɑ z n ɪ k
W R Y L Y	ɹ aɪ l i
Y A N E Y	j eɪ n i
Y A N N I	j æ n i
Y A Z O V	j ɑ z ɔ v
Y E S T E R D A Y	j ɛ s t ɝ d eɪ
Y O M	j ɑ m
Y O U R S E L V E S	j ɔ ɹ s ɛ l v z
Z E A L O T S	z ɛ l ʌ t s
Z E L I K O W	z ɛ l ɪ k oʊ
Z I E B E L L	z i b ɛ l
Z I E S K E	z i s k
Z I E T L O W	z i t l oʊ
Z I M M E R S	z ɪ m ɝ z
Z O G H B Y	z oʊ b i
Z O N E	z oʊ n
Z U E H L K E	z ʊ l k
Z W A R T	z w ɔ ɹ t
